,caseid,gender,race,c1rrscal,c1rrttsco,c1rmscal,c1rmtsco,c1rgscal,c1rgtsco,c1fmotor,c1gmotor,c2rrscal,c2rrtsco,c2rmscal,c2rmtsco,c2rgscal,c2rgtsco,c3rrscal,c3rrtsco,c3rmscal,c3rmtsco,c3rgscal,c3rgtsco,c4rrscal,c4rrtsco,c4rmscal,c4rmtsco,c4rgscal,c4rgtsco,p1learn,p1contro,p1social,t1learn,t1contro,t1interp,t1extern,t1intern,p1center,p1disabl,p1htotal,p1hfamil,p1firkdg,p1hrsprk,wkmomed,wkdaded,wklangst,wksesl,wksesq5,s2kpupri,p1count,lower.az1.,p1pencil,p1still,p1letter,p1verbal,p1expect,p1readbo,p1tellst,p1singso,p1helpar,p1chores,p1games,p1nature,p1build,p1sport,p1chlboo,p1chsesa,p2librar,p2safepl,p2garbag,p2drug,p2burglr,p2violen,p2vacant,p2bktog,ses_orig,rv
1,960,2,1,28,58,30,63,22,51,5,8,41,59,32,56,26,50,57,63,43,61,33,54,78,65,56,63,38,54,4,2.4,4,3,3,3,1.2,1,2,2,4,1,1,0,4,4,2,44,3,1,3,1,3,2,2,1,5,4,4,4,4,4,4,2,4,3,100,1,1,3,3,3,3,3,3,7,-0.14,0.92
2,113,1,8,14,39,14,43,20,48,5,6,32,51,30,54,27,50,29,43,31,50,31,52,52,49,44,52,33,48,2.83,2.2,2.67,3.83,2.67,3.6,1.4,1,2,2,5,1,1,18,2,2,2,37,1,1,2,1,1,2,1,1,2,3,3,4,3,3,4,2,3,4,15,1,2,3,3,3,3,3,3,7,-0.84,0.87
3,1828,1,1,22,50,15,45,14,40,5,2,25,43,20,43,16,36,41,54,28,47,15,31,64,56,38,46,23,37,2.67,2.6,3.33,3.33,2.75,3.2,2.4,2,1,1,4,1,1,26,5,5,2,51,4,1,3,2,3,3,3,2,6,4,2,3,2,4,2,1,4,2,100,1,1,3,3,3,3,3,3,7,0.55,0.22
4,1693,1,1,21,50,27,61,24,54,9,4,31,50,27,51,29,52,33,47,34,52,33,53,48,46,38,46,40,57,2.83,3.4,3.33,4,4,4,1,1,1,2,5,1,1,5,5,3,2,50,4,1,3,2,3,3,3,2,4,3,2,2,3,3,2,2,2,4,100,2,1,3,3,3,3,3,3,7,0.5,0.77
5,643,2,1,14,39,9,30,32,62,4,6,24,42,20,43,35,60,29,43,25,43,43,67,27,27,30,38,44,63,3.33,3.2,3.33,2,2.25,1.8,2.2,1,2,2,6,1,1,0,4,2,2,42,3,1,4,2,3,3,4,2,4,3,3,2,4,3,2,3,2,1,150,2,1,3,3,3,3,3,3,7,-0.26,0.77
6,772,1,1,21,49,15,45,18,46,7,2,32,51,32,55,31,55,37,51,37,55,29,48,52,49,41,49,38,55,3.67,3.4,2.67,2.17,3.25,3,1.6,1,1,2,4,1,1,15,4,3,2,43,3,1,2,2,2,2,2,3,3,2,2,4,2,4,3,2,3,3,100,1,1,3,3,3,3,3,3,7,-0.22,0.82
7,1504,1,3,78,88,37,70,40,73,7,4,75,77,38,61,41,68,82,78,36,55,46,73,85,71,46,54,47,71,2.83,2.8,4,3.33,3,3,1.8,1.5,1,2,5,1,1,30,3,4,2,48,4,2,1,2,2,2,2,2,4,3,2,3,2,2,2,1,2,2,40,1,2,3,3,3,3,3,3,1,0.28,0.55
8,858,2,1,22,51,19,51,40,72,7,8,34,53,33,57,42,69,36,51,38,56,42,65,58,53,50,57,44,63,4,3.2,4,4,4,4,1,1,1,2,5,1,1,8,3,6,2,44,3,2,2,2,2,2,2,2,4,4,3,4,3,4,4,3,3,3,100,1,2,3,3,3,3,3,3,7,-0.11,0.36
9,1598,1,1,25,55,19,51,20,49,3,1,34,53,30,54,22,44,35,50,40,58,30,49,58,52,49,56,42,60,2.83,2.8,3.33,2.83,3.33,3.4,1.2,1.5,1,1,4,1,1,14,6,2,2,49,4,1,3,2,2,2,2,2,4,3,2,2,2,4,4,1,2,4,50,2,2,3,3,3,3,3,3,7,0.35,0.79
10,1402,2,5,25,55,17,48,14,40,6,7,41,59,31,55,17,38,55,62,39,57,23,42,69,59,45,53,28,42,3.33,2,2.67,3,3.33,2.8,1.4,1,1,2,4,1,1,35,6,5,1,47,4,1,2,2,2,5,5,2,4,4,4,4,4,2,4,4,4,4,200,1,1,3,3,3,3,3,3,2,0.2,0.93
11,2259,2,1,28,58,33,66,35,65,7,7,39,57,38,61,38,64,50,59,52,68,44,69,70,60,54,61,46,67,3.33,3,4,3.83,3.67,3.75,1.2,1.75,1,2,4,1,1,0,6,8,2,57,5,1,2,1,1,1,2,1,4,4,3,4,2,3,2,2,1,2,100,1,1,3,3,3,3,3,3,6,1.19,0.03
12,1814,2,1,34,64,30,63,26,55,9,8,36,55,36,59,26,49,43,56,49,65,35,55,71,60,57,64,38,55,3.67,2.8,3,4,3.33,3.4,1,1.5,2,2,5,1,1,0,6,6,2,51,5,2,3,2,2,2,3,2,4,3,4,2,4,4,3,2,1,3,100,1,2,3,3,3,3,3,3,6,0.64,0.95
13,1878,1,1,28,58,20,52,29,59,6,6,35,54,33,57,34,58,40,53,36,54,39,61,52,49,40,48,41,58,3.67,3,3.33,2.17,2.33,2.4,2,1,1,2,5,1,1,45,7,7,2,52,5,1,2,1,1,1,2,1,4,4,3,4,4,3,3,4,4,3,50,1,1,3,3,3,3,3,3,7,0.74,0.68
14,2389,2,1,32,62,23,56,31,61,5,8,40,58,32,56,36,61,45,57,37,56,41,63,71,60,49,56,46,68,3.33,3,3.67,3.83,3.75,3.6,1,2,1,2,4,1,1,40,8,6,2,59,5,1,2,1,1,1,2,1,6,4,3,4,2,3,3,2,2,2,200,2,1,3,3,3,3,3,3,7,1.38,0.41
15,1167,1,3,23,52,26,60,28,58,4,8,39,57,34,58,31,56,46,57,38,56,34,54,61,54,48,55,39,56,2.67,2.8,3.33,3,3.25,3,1.6,1.25,1,2,4,1,1,30,5,5,2,46,3,2,3,2,2,2,2,2,5,2,2,4,2,2,2,2,2,2,20,1,1,2,3,3,2,3,3,3,0.06,0.05
16,1513,1,2,33,63,20,53,24,54,8,6,38,57,28,52,33,58,51,60,42,60,39,61,59,53,43,51,38,54,3.5,3.4,4,2.83,3.25,3,1.6,1.25,1,2,8,1,1,48,6,6,2,48,4,1,3,1,1,1,3,1,6,3,3,4,3,4,3,2,3,4,100,1,1,2,3,3,3,3,3,7,0.27,0.34
17,2102,2,1,23,53,23,56,30,60,7,6,30,50,31,55,32,56,35,50,34,53,35,56,53,50,50,57,38,55,3.17,3.25,3.67,3.5,3.67,3.5,1,1.67,1,2,5,1,1,8,6,5,2,54,5,1,2,1,2,2,2,2,4,4,4,3,3,4,3,2,2,3,200,1,1,3,3,3,3,3,3,1,0.86,0.72
18,574,1,2,26,56,30,63,26,56,7,8,54,66,45,67,32,56,68,68,46,63,36,57,79,66,56,63,40,57,3,3,3.67,3,3.25,3.2,1.4,1,1,2,5,1,1,32,5,3,1,42,2,2,2,2,2,2,2,2,6,3,3,4,2,4,3,1,2,3,20,1,1,2,2,3,3,3,3,3,-0.35,0.85
19,1054,1,5,21,50,18,50,15,41,7,5,31,50,30,54,22,44,37,51,31,49,28,47,50,48,33,40,31,46,2.33,2.6,2.33,3.67,2.75,2.8,1,1.5,1,2,5,1,1,3,4,5,1,45,3,1,2,2,2,2,2,3,6,4,3,4,4,3,3,3,2,3,20,1,1,3,3,3,3,3,3,2,-0.02,0.17
20,99,1,1,22,51,18,51,24,54,5,8,29,49,27,51,27,50,37,52,38,56,34,55,63,56,52,59,42,60,2.67,3,3.33,3.5,3,2.6,1.2,1,2,2,4,1,1,8,2,2,2,37,1,1,2,2,3,2,3,3,2,3,3,2,3,4,3,2,2,3,20,1,1,3,3,3,3,3,3,2,-0.76,0.57
21,1792,1,1,22,51,16,46,25,54,8,8,35,54,22,45,33,57,38,52,29,48,38,60,55,51,44,52,39,55,2.33,3,3.67,3.33,3.5,3.8,2.2,2,1,2,3,2,1,50,8,5,2,51,5,1,2,2,2,3,3,2,3,4,1,2,2,3,3,2,2,2,100,1,1,3,3,3,3,3,3,7,0.62,0.27
22,2446,2,1,21,49,31,65,24,54,8,8,32,52,38,62,27,51,37,51,44,61,38,59,62,55,54,61,30,44,3.83,3.4,4,3.5,3,3,2,2.5,1,2,4,1,1,30,6,8,2,61,5,2,4,2,3,3,4,3,4,3,2,1,2,3,2,2,1,2,100,2,2,3,3,3,3,3,3,7,1.64,0.41
23,546,1,1,12,33,12,38,15,41,3,6,22,39,15,33,23,45,24,37,17,31,26,45,40,41,21,26,33,48,3.67,3.2,4,2.67,3,3,1.4,1,1,2,4,1,1,8,3,4,2,42,3,1,4,1,1,1,3,1,3,3,2,2,4,3,3,3,3,3,20,1,2,3,3,3,3,3,3,7,-0.28,0.23
24,1689,2,2,21,49,20,52,18,46,2,3,30,50,27,51,32,56,37,51,32,51,35,56,56,51,47,54,35,51,3,2.4,3,3,3.25,3,1.8,1.25,1,2,4,1,1,44,6,6,2,50,4,2,1,2,1,1,1,1,6,3,3,3,2,3,3,2,1,2,80,2,1,3,3,3,3,3,3,2,0.48,0.54
25,2358,2,1,33,63,22,56,33,63,8,8,40,58,28,52,38,64,47,58,34,53,40,62,67,58,55,62,43,62,2.67,3.2,3,3.5,3,3.2,2.2,1.25,1,2,4,1,1,18,6,9,2,59,5,2,3,2,2,2,2,2,4,4,2,3,3,2,2,2,2,3,100,2,2,3,3,3,3,3,3,4,1.39,0.49
26,2031,2,1,17,44,23,57,21,50,4,6,34,53,36,59,26,49,35,50,37,56,29,49,58,53,45,53,37,54,4,4,3.67,3.33,4,3.8,1,1,1,2,5,1,1,5,6,5,2,53,5,1,2,1,1,2,2,2,5,3,4,3,3,4,3,3,2,3,150,2,1,2,3,3,3,3,3,7,0.78,0.43
27,182,1,4,15,41,14,42,14,39,7,2,26,45,23,46,20,42,30,44,31,49,23,41,33,35,36,44,26,41,2.33,2.2,2,3,3,2.8,1.6,1.33,2,2,6,1,1,0,3,1,1,38,1,1,2,1,2,2,2,2,4,2,2,2,4,4,2,1,2,2,30,1,1,2,3,3,3,3,3,3,-0.66,0.22
28,993,1,1,13,36,11,36,11,33,4,6,15,28,11,26,14,32,17,27,17,33,19,36,24,24,17,18,24,37,3,3.2,2.67,3.33,4,2.4,2.2,2,1,2,4,1,1,32,3,3,2,44,3,1,2,2,2,3,2,2,3,4,4,2,1,4,4,3,3,2,50,1,2,2,3,3,3,3,3,3,-0.15,0.42
29,1037,1,1,23,52,18,50,25,54,7,3,36,55,40,64,26,49,39,53,38,56,32,52,54,50,48,55,37,53,3.17,2.8,3.67,3.17,3,2,1,1.5,1,2,5,1,1,8,2,3,2,45,3,1,2,2,2,3,2,2,5,4,4,4,2,4,3,4,4,2,50,2,2,2,3,3,1,3,1,2,0.02,0.15
30,1681,1,1,21,50,18,50,17,44,7,6,36,56,32,56,23,46,40,54,37,55,28,48,67,58,46,53,34,49,3,2.4,4,2.5,3.5,2.8,1,2.25,1,1,4,1,1,7,4,6,2,50,4,2,3,1,2,1,2,2,3,3,2,4,2,2,3,2,2,3,75,1,1,3,3,3,3,3,3,5,0.46,0.16
31,1079,1,1,13,36,11,37,16,43,3,4,18,34,18,39,23,45,24,38,15,28,32,52,38,40,31,38,34,49,3,2.2,3.67,1.5,3,3.2,2.2,1,1,2,4,1,1,20,3,5,2,45,3,1,3,2,2,2,3,2,4,2,2,2,4,4,4,1,4,3,100,2,2,3,3,3,3,3,3,7,-0.02,0.97
32,818,1,6,24,53,19,51,12,37,7,6,28,48,27,51,14,34,33,47,23,42,18,35,40,41,40,48,25,40,3,2.4,3,3.5,3.25,3.4,1.2,1,2,2,8,2,1,30,3,5,2,43,3,1,2,1,2,1,2,1,3,4,4,4,3,3,3,2,4,3,20,1,1,3,3,3,3,3,3,2,-0.18,0.44
33,504,2,1,22,51,19,51,29,58,6,6,33,53,29,53,33,58,38,52,34,52,34,55,53,50,45,52,38,54,3.5,2.2,3.67,3.33,3.25,3.25,2,1.25,1,2,4,1,1,48,3,3,2,41,2,1,2,1,1,2,2,2,6,4,3,4,3,4,3,4,3,2,200,2,2,3,2,3,2,3,3,1,-0.39,0.58
34,416,2,1,20,47,17,48,10,31,5,4,26,45,22,45,11,27,32,47,27,45,11,24,64,56,39,47,20,33,2,2.4,1.67,2,3.5,2.8,1.4,1.25,2,1,5,1,1,0,4,2,2,40,2,1,3,1,3,2,3,1,5,4,3,2,3,2,4,3,3,2,45,1,1,2,3,3,3,3,3,4,-0.53,0.05
35,1331,1,2,26,56,37,70,28,58,7,7,37,56,34,58,28,52,42,55,43,60,36,57,70,60,56,63,45,65,3.17,3,1.67,3.67,3.5,3,1,1.5,1,2,4,1,1,55,6,6,2,47,4,2,1,2,1,2,1,1,6,4,2,4,2,4,1,2,1,2,100,1,1,3,3,3,3,3,3,0,0.18,0.49
36,2323,1,1,33,64,26,60,22,50,5,6,67,73,27,51,31,55,65,67,43,61,29,49,78,65,51,58,40,56,2.67,3,3,3.17,3,3,1.8,1.25,1,1,4,1,1,7,8,6,2,58,5,1,2,3,3,2,3,2,4,4,2,2,3,2,2,1,2,3,150,2,1,3,2,3,2,3,3,7,1.29,0.12
37,526,2,6,25,55,18,50,15,41,5,7,36,55,28,52,24,47,47,58,29,47,27,47,66,57,41,49,31,46,2.67,2.6,2.33,4,4,3.8,1,1,1,1,4,1,1,40,3,3,2,41,2,1,3,2,2,2,2,3,2,3,3,3,3,3,3,3,2,3,150,3,1,3,3,3,3,3,3,5,-0.37,0.38
38,2069,1,1,35,65,23,57,33,64,6,8,46,62,37,61,43,72,50,59,42,60,47,75,68,59,56,63,43,62,3.67,3,4,3.8,4,4,1.6,1.25,2,2,6,1,1,0,5,6,2,54,5,1,3,2,3,3,3,2,6,3,4,3,4,4,3,3,3,3,50,2,1,3,3,3,3,3,3,7,0.9,0.68
39,52,1,1,15,41,20,53,32,62,7,6,24,43,26,50,36,61,37,51,37,55,38,59,76,63,46,54,47,69,2.67,3,3.67,4,3.75,4,1,1.25,2,2,5,1,1,0,2,2,2,36,1,1,2,1,1,1,1,1,3,4,4,2,2,3,3,2,1,3,100,1,2,2,2,2,2,2,3,0,-0.92,0.98
40,2348,1,1,33,63,29,62,31,61,6,8,42,59,39,63,40,66,52,60,41,59,39,61,75,63,48,56,42,60,3,2.8,3.33,3,3,3,1,1,1,2,5,1,1,12,6,6,2,58,5,2,2,1,2,1,2,1,3,4,2,2,4,3,2,2,3,3,100,1,1,3,3,3,3,3,3,0,1.3,0.63
41,1104,2,1,38,67,33,66,31,61,9,8,67,73,33,57,36,61,77,73,40,58,40,62,80,66,52,59,43,61,3.5,2.2,3,3.17,2.75,3.2,2,1.75,2,2,5,1,1,0,4,3,2,45,3,1,3,2,3,2,2,2,6,3,2,3,4,1,4,4,2,4,200,2,1,2,3,2,3,3,3,5,-0.01,0.22
42,1122,2,1,24,53,18,49,21,49,9,8,32,52,23,47,28,52,44,56,25,44,30,49,62,55,43,51,34,50,3.83,2,3.67,2.67,3.75,3.6,1.6,1,1,2,7,1,1,8,4,4,2,45,3,1,3,2,2,2,3,2,4,3,3,1,2,3,3,2,2,2,100,2,1,3,2,1,2,3,3,1,0.01,1
43,1929,1,1,27,57,28,62,25,54,6,6,33,53,34,58,36,61,50,59,43,60,40,62,69,59,53,60,44,64,3.17,3,2.67,4,4,4,1,1.75,1,2,5,1,1,7,6,3,2,52,5,2,2,2,2,3,3,2,5,3,2,2,4,2,3,2,2,2,50,1,2,3,3,3,3,3,3,7,0.71,0.66
44,844,1,1,20,48,16,46,28,58,3,4,35,55,19,41,33,58,40,54,31,49,39,61,53,50,37,44,40,58,3.5,2.8,4,2.33,2.5,3.4,2.6,1.5,1,2,4,1,1,8,4,5,2,44,3,1,3,1,2,3,3,1,4,4,2,3,3,4,3,2,2,3,60,1,1,3,3,3,3,3,3,7,-0.12,0.68
45,999,1,1,32,63,26,60,28,58,6,8,36,55,34,58,32,56,49,59,40,58,35,56,61,54,51,58,37,54,3.67,3.4,4,3,3,3,1.6,1.25,1,1,5,1,1,8,3,3,2,44,3,1,2,2,2,3,1,1,2,4,4,1,3,4,4,3,3,4,75,1,1,3,3,2,3,3,3,2,-0.07,0.05
46,591,1,1,24,54,24,58,38,70,9,6,41,59,42,66,43,71,57,63,52,68,45,71,68,58,54,61,45,65,3.67,3,3.33,2.67,3,3.25,1.25,1.75,1,2,4,1,1,22,3,3,2,42,3,2,2,2,2,3,3,2,4,4,4,3,3,4,3,4,4,3,100,1,2,3,3,3,3,3,3,7,-0.3,0.46
47,2551,1,1,28,58,32,66,29,59,3,3,31,51,41,65,39,65,37,52,51,67,40,62,79,65,56,64,47,72,3,3,3.67,3,2.5,2.6,2,1.25,1,2,4,1,1,8,7,9,2,66,5,2,3,1,1,2,3,1,5,3,3,4,3,2,3,2,3,3,100,1,1,3,3,3,3,3,3,6,2.06,0.56
48,2311,1,1,24,53,25,59,28,58,6,7,32,52,32,56,39,65,39,53,42,60,38,59,61,55,57,64,43,61,3.83,3,3,3,2.33,2.5,1.25,2.5,1,2,5,1,1,12,8,6,2,57,5,1,2,1,1,1,2,1,5,4,4,2,3,4,4,3,4,4,100,1,1,3,3,3,3,3,3,7,1.15,0.89
49,1952,1,1,16,42,15,44,23,52,3,6,36,56,26,50,26,50,37,51,38,56,28,48,49,48,51,57,36,51,3.33,3.4,3.33,3.17,3.5,3.25,1.2,1.5,1,2,5,1,1,2,4,3,2,53,5,2,2,2,2,2,2,2,4,4,4,4,3,4,4,4,1,3,200,1,1,3,3,3,3,3,3,7,0.77,0.52
50,272,2,1,31,61,30,64,20,49,8,3,41,59,39,62,21,44,53,61,43,60,35,56,60,54,47,54,40,57,4,3.2,4,3.67,3.25,3.4,1,1.25,2,2,4,1,1,0,3,3,2,39,2,1,2,2,3,2,2,2,3,4,4,4,2,4,4,2,2,3,50,1,1,3,3,3,3,3,3,5,-0.57,0.46
51,201,2,8,15,41,16,46,12,37,4,8,23,41,21,45,23,45,34,48,26,45,20,39,52,49,36,44,31,46,3.17,2.6,3,2.6,2.75,3,2,2,1,2,4,1,1,18,4,2,2,39,2,1,5,2,2,3,3,2,4,3,4,4,3,2,3,4,1,1,50,1,1,3,3,3,3,3,3,0,-0.58,0.38
52,1097,2,1,30,60,21,54,19,47,7,6,42,59,33,57,22,44,43,55,36,54,25,44,61,54,46,53,29,44,3.67,3.2,4,3.17,3,2.2,1.8,2.25,1,2,5,1,1,15,3,3,2,45,3,1,1,1,1,1,1,1,6,4,2,4,3,4,4,2,3,3,55,2,1,2,3,3,3,3,3,7,-0.01,0.54
53,1717,1,1,21,49,16,46,18,46,5,5,28,47,21,44,28,52,30,44,24,42,25,44,49,47,37,45,32,47,3.33,3,3,2,3.75,2.4,1,2.5,1,2,4,1,1,20,5,6,2,50,4,1,3,3,3,1,3,1,4,2,2,2,2,4,2,2,2,3,100,1,2,3,3,3,3,3,3,7,0.48,0.18
54,1854,2,1,24,54,22,56,33,64,6,6,39,58,33,57,38,64,41,54,34,52,40,62,71,60,51,57,43,62,3.83,3.6,4,3.5,4,4,1,1,1,2,4,1,1,8,4,6,2,51,4,1,2,1,3,1,2,2,4,4,3,4,3,2,4,3,3,3,150,1,1,3,3,3,3,3,3,7,0.56,0.62
55,1142,1,1,21,49,11,36,21,50,5,5,23,41,29,53,26,50,28,43,31,49,30,49,51,48,45,53,33,49,2.83,2.6,3.67,2.83,2.25,2.4,4,1.75,1,2,7,1,1,30,5,4,2,45,3,1,3,2,3,2,3,3,3,3,2,2,2,3,2,1,1,3,40,1,2,2,3,3,3,3,3,7,-0.02,0.43
56,1977,1,2,32,62,25,59,30,60,4,7,34,53,35,59,29,53,57,63,41,59,43,67,54,50,38,46,32,47,3,3.2,4,3.8,3.75,3.8,1,1,1,2,3,2,1,50,5,5,2,53,5,1,2,2,1,3,1,1,4,4,2,4,2,3,2,4,2,4,50,1,1,3,3,3,3,3,3,7,0.75,0.16
57,1714,2,1,40,68,32,65,33,64,8,8,50,64,45,68,37,62,53,61,46,63,37,59,76,63,58,66,39,56,3.33,3.2,3.33,3.67,4,4,1,1.25,1,2,5,1,1,23,6,6,2,50,4,1,1,1,1,2,2,2,4,4,4,4,4,4,4,3,4,3,100,1,1,3,3,3,3,3,3,7,0.53,0.57
58,1308,2,1,23,52,25,59,33,64,7,8,29,49,27,51,33,57,38,52,33,52,39,61,49,47,50,57,37,54,3.83,2.8,4,4,3.5,3,1,1.25,2,2,4,1,1,0,5,5,2,47,4,2,2,2,2,2,2,2,2,3,2,2,4,4,4,2,2,4,50,1,2,3,3,3,3,3,3,2,0.23,0.89
59,1741,1,1,28,58,23,57,35,65,8,8,46,62,40,64,32,57,41,54,49,65,37,58,55,51,48,55,37,53,3.17,2.4,3,3.83,4,3.8,1,1,1,2,4,1,1,20,4,5,2,50,4,1,3,2,2,2,3,2,4,4,3,3,2,3,2,3,2,4,100,2,1,3,3,3,3,3,3,7,0.46,0.74
60,1482,2,1,18,45,24,58,32,62,6,8,27,46,25,49,35,60,33,48,26,44,33,53,62,55,47,54,42,61,2.83,2.8,3,3.33,3.75,3.4,1,1,1,2,5,1,1,49,5,6,2,48,4,1,1,2,1,2,3,2,2,4,4,4,4,2,3,2,4,4,100,2,1,2,3,3,3,3,3,0,0.33,0.58
