,caseid,gender,race,c1rrscal,c1rrttsco,c1rmscal,c1rmtsco,c1rgscal,c1rgtsco,c1fmotor,c1gmotor,c2rrscal,c2rrtsco,c2rmscal,c2rmtsco,c2rgscal,c2rgtsco,c3rrscal,c3rrtsco,c3rmscal,c3rmtsco,c3rgscal,c3rgtsco,c4rrscal,c4rrtsco,c4rmscal,c4rmtsco,c4rgscal,c4rgtsco,p1learn,p1contro,p1social,t1learn,t1contro,t1interp,t1extern,t1intern,p1center,p1disabl,p1htotal,p1hfamil,p1firkdg,p1hrsprk,wkmomed,wkdaded,wklangst,wksesl,wksesq5,s2kpupri,p1count,lower.az1.,p1pencil,p1still,p1letter,p1verbal,p1expect,p1readbo,p1tellst,p1singso,p1helpar,p1chores,p1games,p1nature,p1build,p1sport,p1chlboo,p1chsesa,p2librar,p2safepl,p2garbag,p2drug,p2burglr,p2violen,p2vacant,p2bktog,ses_orig,rv
61,2051,2,1,28,58,26,60,33,64,8,8,36,55,44,66,38,64,39,53,44,61,41,63,67,58,51,57,42,60,3.67,3.6,3.67,4,4,3.4,1,1,1,2,3,2,1,42,8,6,2,54,5,1,3,1,2,1,3,1,5,4,3,4,4,4,3,2,1,2,100,2,1,3,3,3,3,3,3,6,0.93,0.69
62,2039,2,5,34,64,18,49,28,58,6,8,34,54,25,50,31,55,46,57,37,55,40,62,71,60,45,53,44,64,4,2.6,4,2.67,3.25,2.6,1.6,1.25,1,2,4,2,1,4,8,6,2,54,5,1,3,2,2,4,3,2,6,4,2,4,4,4,2,4,2,4,50,1,1,3,3,3,3,3,3,7,0.92,0.42
63,1534,1,1,33,63,28,62,31,61,8,6,39,57,35,59,38,64,39,53,42,60,35,56,69,59,50,57,42,60,3,3.8,3.67,3.5,4,4,1.2,1.5,1,2,5,1,1,52,6,5,2,49,4,1,3,1,3,2,3,1,4,2,2,2,2,2,2,2,2,2,100,2,1,3,3,3,3,3,3,7,0.39,0.37
64,2498,1,1,23,52,21,54,27,57,2,0,30,50,31,55,32,56,39,53,29,47,32,52,66,57,43,51,35,50,3,2.8,2.67,2.83,4,3.6,1.8,1.25,1,1,5,1,1,40,8,6,2,63,5,1,1,2,2,2,2,2,4,3,2,3,2,3,2,1,2,2,200,2,1,3,3,3,3,3,3,7,1.81,0.5
65,2120,1,1,31,61,33,67,32,63,6,7,39,57,34,58,32,57,46,57,39,57,37,59,73,61,49,56,38,54,2.83,3,4,4,4,4,1.4,1.5,1,2,4,1,1,12,6,6,2,55,5,1,4,2,1,2,2,1,5,3,3,3,2,3,3,1,2,3,50,2,1,3,3,3,3,3,3,7,1.01,0.64
66,1798,1,1,30,61,21,55,22,51,6,4,44,61,30,54,33,57,48,58,37,56,32,53,78,65,50,57,40,56,2.5,2.8,3,3.33,3,3,1.25,1.75,1,2,4,1,1,45,6,6,2,51,5,2,3,2,3,2,3,1,4,4,1,2,1,3,3,2,2,4,200,1,1,3,3,3,3,3,3,7,0.63,0.92
67,48,1,1,14,39,11,36,27,56,3,1,22,39,19,41,24,47,28,43,19,35,28,47,66,57,43,51,37,53,2.83,2.4,3.33,2.5,3,2.2,1,1.75,1,2,4,1,1,20,3,2,2,36,1,1,2,1,1,1,1,1,4,3,2,2,3,4,3,1,2,2,100,1,2,3,3,3,3,3,2,2,-0.87,0.52
68,766,1,2,28,58,23,57,30,60,6,8,40,58,36,60,34,59,42,55,45,62,37,58,72,61,48,55,43,62,2.5,3,2.33,4,4,3.6,1,1,1,2,3,2,1,14,3,5,2,43,3,1,2,2,2,2,2,2,3,2,4,3,2,4,3,1,2,4,4,2,2,2,3,3,3,3,3,2,-0.21,0.22
69,2216,1,1,33,63,37,70,36,68,6,8,64,71,46,68,38,64,70,70,51,67,40,63,79,65,57,64,44,63,3.83,3,3.67,4,3.75,3.8,1.2,1.25,1,2,4,1,1,15,8,6,2,56,5,1,1,1,1,1,1,1,5,4,3,3,3,3,3,2,4,3,200,2,1,3,3,3,2,3,3,7,1.13,0.18
70,2361,2,1,23,53,23,57,33,64,4,5,35,54,28,52,30,54,39,53,31,50,38,59,56,51,43,51,38,54,4,3,4,3.67,4,3.6,1,1,1,2,5,1,1,12,7,9,2,59,5,1,5,2,3,2,3,2,4,4,3,4,3,4,3,3,3,4,100,1,1,3,3,3,3,3,3,7,1.4,0.96
71,588,1,1,16,43,26,60,26,56,5,5,30,50,27,51,34,59,35,50,39,57,35,56,42,43,43,51,36,52,3.17,2.2,3.33,3,3.5,3.2,1.2,1.5,1,2,4,1,1,0,4,3,2,42,2,1,3,1,3,2,3,2,2,3,2,4,3,4,3,4,3,3,100,2,1,3,3,3,3,3,3,5,-0.35,0.83
72,2538,1,1,38,67,27,61,30,60,8,8,70,74,47,69,36,61,78,74,55,70,42,65,78,65,56,63,45,67,3.67,2.8,3.67,4,3.75,3.6,1,1.25,1,2,5,1,1,9,6,9,2,65,5,1,3,2,3,2,2,2,5,3,3,3,4,3,3,3,2,3,200,1,1,3,3,3,3,3,3,6,2.04,0.81
73,1420,1,1,14,39,15,44,20,48,3,6,23,40,19,40,16,37,30,44,26,45,28,47,39,41,29,36,27,42,3,3,3,1.67,3,2.6,2.4,2,1,1,5,1,1,8,5,3,2,47,4,1,1,2,1,1,2,1,4,4,2,4,3,4,3,2,3,3,75,1,1,3,3,3,2,3,2,7,0.17,0.77
74,2111,1,1,21,49,28,62,29,58,7,4,24,42,38,62,42,69,39,53,40,58,37,58,46,46,55,62,45,65,3.17,3.4,3.67,3.67,3.75,3.5,1,1.25,1,2,3,2,1,28,6,8,2,55,5,1,1,1,1,1,1,1,4,3,3,4,2,4,3,1,2,2,200,2,2,3,3,3,3,3,3,2,1,0.93
75,2056,1,1,26,56,31,64,31,61,6,5,36,55,43,66,34,58,40,53,52,67,36,57,59,53,56,63,42,59,3.67,3.8,3.33,2.8,3.33,3.5,2.2,1.25,1,2,4,1,1,29,6,6,2,54,5,1,1,1,3,3,3,1,4,4,4,4,3,3,2,2,3,2,100,1,1,3,3,3,3,3,3,7,0.9,0.35
76,701,1,1,25,54,24,58,30,60,7,6,35,54,32,56,39,65,48,58,37,56,40,63,71,60,44,52,39,56,3.17,2.8,3.67,2.67,2.25,2.4,2.4,1,1,1,4,1,1,0,5,3,2,43,3,1,3,3,4,3,2,1,5,4,3,4,3,4,4,3,3,3,200,1,1,3,3,3,3,3,3,7,-0.21,0.57
77,119,1,1,14,38,15,45,21,49,7,6,31,50,26,50,25,48,31,45,30,48,28,47,55,51,41,48,39,56,3,3.2,3,3.5,4,4,1,1.25,1,2,4,1,1,64,2,3,2,37,1,1,2,2,2,2,2,2,4,2,3,3,3,3,3,2,3,3,8,1,2,3,3,3,3,3,3,2,-0.84,0.58
78,563,1,1,16,41,14,43,24,53,4,7,24,42,20,43,27,50,28,42,26,45,34,55,53,50,43,50,36,52,2.83,3.2,3,2,2.67,2,1.4,2,1,1,5,1,1,20,4,3,2,42,2,1,3,1,1,3,2,1,3,3,1,1,3,4,1,1,2,2,200,1,2,3,3,3,3,3,3,2,-0.35,0.82
79,1683,2,1,35,65,30,64,38,70,8,8,48,63,44,66,38,64,52,60,54,69,42,65,69,59,59,67,42,60,3.5,3,4,4,4,3.5,1,1.25,1,2,4,1,1,12,6,6,2,50,4,1,1,1,2,2,1,1,4,4,4,4,3,3,3,3,2,3,125,2,1,3,3,3,3,3,3,5,0.5,0.11
80,2396,2,1,17,43,18,50,12,36,7,8,21,38,22,45,26,49,32,47,33,51,18,36,48,47,43,51,28,43,3.67,2.6,3.33,2.33,3,2.8,2.2,1.25,1,2,5,1,1,25,7,9,2,60,5,2,2,1,2,1,2,1,4,4,4,4,3,3,3,2,2,2,100,2,1,3,3,3,3,3,3,7,1.52,0.96
81,1712,1,3,26,56,28,61,24,53,8,6,46,62,36,59,34,59,44,56,45,62,33,54,79,65,52,59,32,47,2.67,3,4,3,3,3.6,1.6,1.5,1,2,4,1,1,7,5,5,1,50,4,2,2,2,2,2,2,2,6,3,3,4,3,2,2,3,3,2,60,1,2,3,3,3,3,3,3,2,0.53,0.31
82,1937,1,1,25,55,22,56,28,58,5,7,39,57,26,51,34,59,45,57,40,58,34,55,68,59,47,54,39,55,2.5,2,3,2.33,3.25,3,1,1,1,1,4,1,1,40,6,5,2,52,5,1,3,1,2,2,2,2,4,3,2,3,4,4,2,3,4,1,150,1,1,3,3,3,3,3,3,3,0.65,0.73
83,1936,1,8,21,49,18,50,21,49,6,8,27,45,22,46,27,51,45,56,38,56,32,53,69,59,52,59,37,53,3.33,3,4,3.17,3.5,2.5,1.4,1,1,2,5,1,1,12,3,8,2,52,5,1,1,1,1,1,1,1,5,3,3,2,3,4,3,2,2,2,100,1,1,3,3,3,3,3,3,3,0.7,0.19
84,2452,1,1,29,59,24,58,28,58,7,6,34,53,25,49,35,60,39,53,36,54,33,53,51,48,46,53,39,56,2.5,2.8,3.33,2.17,3,2.4,1.8,1.25,1,2,4,1,1,35,6,9,2,61,5,2,2,1,3,2,1,1,5,4,2,4,1,4,3,4,3,3,100,1,1,3,3,3,2,3,3,7,1.55,0.6
85,26,2,1,12,31,9,32,10,32,1,5,28,47,14,32,12,30,25,39,12,21,12,26,38,40,31,38,28,43,3.17,2.2,4,2.33,3.5,3.2,1,2.75,1,2,5,1,1,15,2,2,2,35,1,1,3,2,3,2,2,2,2,4,1,1,3,3,1,1,1,1,200,2,2,3,3,3,3,3,3,7,-1.03,0.95
86,2374,2,1,38,67,41,73,41,74,8,8,47,62,44,67,41,69,56,63,43,60,41,64,81,67,54,61,47,71,3.67,3.2,3.33,3.83,3.5,3,2,1.75,1,2,4,1,1,20,6,8,2,59,5,2,3,2,4,3,3,2,4,4,3,4,2,4,3,3,2,2,200,1,1,3,3,3,3,3,3,6,1.44,0.68
87,805,1,3,13,34,18,50,20,48,9,7,22,39,33,57,27,51,26,39,27,46,35,55,51,48,46,54,41,59,3.67,2.6,4,3,3,3.2,2,1,1,2,4,1,1,24,5,3,2,43,3,2,3,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,150,2,1,3,3,3,3,3,3,2,-0.22,0.11
88,1066,1,1,26,56,24,58,28,58,8,8,26,45,30,54,29,53,37,51,34,53,30,50,55,51,51,58,39,56,3.33,3.2,3.67,3,3.5,3.4,1.8,1,1,2,5,1,1,40,5,5,2,45,3,1,2,2,2,2,1,2,4,3,3,4,2,3,1,1,2,2,100,1,1,3,3,3,3,3,3,6,0,0.06
89,335,2,1,24,54,20,53,27,57,9,8,34,54,19,41,35,60,39,53,35,53,28,48,64,56,42,50,40,57,3.33,2.2,3.67,3,2.5,2.25,2.2,1.25,1,2,4,1,2,18,3,3,2,40,2,1,3,1,1,3,3,2,3,4,2,4,3,4,3,2,2,2,200,2,1,3,3,3,3,3,3,2,-0.54,0.17
90,46,1,2,20,49,20,53,23,52,7,7,24,42,26,50,22,45,36,50,31,50,34,55,54,50,33,41,31,46,3.5,3.2,4,2.33,3,2.4,1.2,2,1,2,7,1,1,12,2,3,2,35,1,1,2,1,1,1,2,1,4,2,2,4,3,3,4,4,4,4,55,2,2,2,3,3,3,3,3,2,-1.01,0.94
91,1633,2,1,25,54,29,62,32,63,3,8,39,57,39,62,37,62,40,53,36,54,40,62,63,55,54,61,44,63,3.5,1.6,3.33,3.17,2.25,2.8,1.8,1.25,1,2,5,1,1,28,5,5,2,49,4,2,3,2,2,2,3,1,4,2,1,2,2,2,2,3,2,3,200,2,2,3,3,3,3,3,3,7,0.4,0.54
92,2275,2,1,22,51,22,55,29,59,8,6,33,52,30,54,35,60,40,53,37,55,41,63,61,54,44,51,45,66,3.67,3.2,4,2.83,3.25,3,1,1.25,2,2,8,1,1,45,6,8,2,57,5,2,4,2,3,2,3,2,4,3,3,3,2,3,2,2,2,2,75,1,1,3,3,3,3,3,3,7,1.2,0.63
93,1778,1,1,43,70,41,73,43,76,6,6,65,72,43,66,43,72,72,71,45,62,44,69,81,67,55,62,46,67,3.33,2.8,3.67,3.5,2.33,2.8,1.6,1.25,1,2,5,1,1,38,8,3,2,51,4,1,2,1,1,1,2,1,6,4,4,2,2,4,3,2,2,2,150,1,1,3,3,3,3,3,3,7,0.57,0.22
94,455,1,1,26,56,34,67,28,58,4,5,38,56,40,64,37,62,50,59,44,61,34,55,66,57,50,57,43,61,3,3.8,4,3.17,3.25,3.2,1.4,1,1,2,4,1,1,5,3,3,2,41,2,2,3,2,3,1,3,2,3,4,3,3,3,3,3,3,3,3,200,2,1,3,3,3,3,3,3,7,-0.39,0.06
95,597,1,1,22,51,26,60,25,54,6,8,31,51,36,59,30,54,36,51,54,70,37,58,61,54,57,65,42,60,3.5,3.2,4,2.67,2.5,2.6,2.2,1.25,2,2,6,1,1,6,3,5,2,42,3,1,3,2,3,3,3,2,4,3,3,3,2,4,4,2,2,4,150,1,1,3,3,3,3,3,3,7,-0.28,0.8
96,2077,1,1,26,56,27,61,31,62,7,4,39,58,36,59,38,64,43,55,34,52,32,52,73,61,57,64,41,58,3.67,3.4,3.33,3.33,4,4,1,1.25,1,2,4,1,1,22,6,6,2,54,5,1,1,1,1,2,1,1,6,3,4,4,4,3,3,4,2,4,100,2,1,3,3,3,3,3,3,0,0.91,0.15
97,958,1,1,25,55,17,48,34,64,3,7,43,60,33,57,36,61,37,51,31,49,39,61,54,50,45,52,46,69,3.17,3,3.67,2.67,2.75,2,1.2,1.5,1,2,5,1,1,16,4,5,2,44,3,1,4,2,4,2,3,2,5,3,3,3,2,3,2,4,2,3,200,2,2,3,3,3,3,3,3,7,-0.1,0.2
98,577,2,1,24,53,21,55,25,54,5,8,32,52,25,49,27,50,34,48,28,47,33,53,54,50,44,52,36,52,2.67,3.4,3.67,4,4,3.6,1,1.5,1,2,5,1,1,20,3,5,2,42,3,1,2,2,2,2,4,2,3,2,2,3,2,1,3,1,2,1,30,2,2,3,3,3,3,3,3,7,-0.28,0.58
99,171,2,3,15,41,12,39,29,59,8,8,18,33,20,42,33,58,28,42,30,49,39,61,49,47,50,57,45,65,2.5,2.8,2.67,2.5,3,3,1.8,1.25,2,2,3,2,1,0,2,3,2,38,1,1,1,2,3,2,1,2,2,3,3,2,3,4,2,2,1,3,70,1,1,1,2,3,3,3,3,1,-0.73,0.03
100,155,1,4,20,48,14,42,16,42,7,6,27,46,22,46,16,37,31,45,35,54,20,37,50,48,38,46,30,45,3.33,2.8,3.67,2.17,2.75,2.2,2.2,2.25,2,2,5,1,1,0,3,3,1,38,1,1,2,2,2,2,2,2,4,2,2,3,2,1,2,1,2,3,10,1,2,2,3,3,3,3,3,7,-0.73,0.27
101,310,2,1,22,51,25,60,24,53,9,8,38,57,37,60,31,55,49,59,37,55,36,56,69,59,50,57,44,64,3.33,3.2,3.67,3.5,3.5,3,1,1.75,1,2,4,1,1,6,3,3,2,40,2,1,2,2,2,2,2,2,2,4,3,4,3,3,3,2,4,2,125,1,1,3,3,3,3,3,3,2,-0.5,0.2
102,58,1,3,25,55,17,48,18,46,7,6,33,52,26,51,23,45,34,49,39,57,28,47,52,49,46,53,32,47,2.83,2.6,4,3.67,3.25,3.2,1,2,1,2,5,1,1,24,2,2,2,36,1,1,2,2,2,2,2,1,2,2,2,1,4,2,2,1,2,4,10,1,2,2,3,3,1,3,3,2,-0.93,0.92
103,970,2,4,16,42,10,33,16,43,4,8,25,44,15,33,20,42,32,47,20,37,30,49,56,52,28,36,19,32,3.33,2,3.33,2,3,2.6,1.2,2.5,1,1,10,1,1,12,3,3,2,44,3,1,2,1,1,1,1,1,4,4,3,4,4,4,4,4,4,4,50,1,1,3,3,3,3,3,3,7,-0.07,0.35
104,2127,2,5,62,79,35,68,25,55,5,7,70,74,43,66,30,54,79,75,47,64,38,60,79,66,56,63,38,55,3.83,2.8,3.33,3.33,3.33,3.2,1.5,1.5,1,2,4,1,1,35,6,7,2,55,5,2,2,2,1,1,2,2,5,3,2,4,2,3,2,2,2,1,100,1,1,3,3,3,3,3,3,2,0.97,0.18
105,1777,1,1,31,61,30,64,19,46,8,8,39,58,34,57,26,50,62,66,40,58,31,52,74,62,53,60,34,50,3.33,3.6,4,3.17,3,2.6,1.2,1,1,2,5,1,1,0,6,6,2,51,4,2,3,1,1,1,1,1,4,3,2,1,2,3,2,1,1,2,20,2,1,3,3,3,3,3,3,7,0.55,0.78
106,839,2,5,33,63,24,59,36,67,7,8,38,57,32,56,37,63,39,53,35,53,44,69,47,46,36,44,45,65,3,2.8,4,3.67,3.75,3.8,1,1.25,1,2,3,2,1,17,3,5,2,43,3,1,4,1,3,3,3,2,5,4,4,4,4,2,3,3,4,2,67,1,1,3,3,3,3,3,3,5,-0.23,0.54
107,2527,1,5,25,54,30,64,23,51,8,8,32,52,39,62,25,48,41,54,56,72,38,60,71,60,58,65,40,57,3.67,2.4,3.67,3.4,2,3,2.4,1.5,1,2,4,1,1,45,8,9,1,64,5,1,2,2,3,1,3,2,5,4,4,2,3,3,3,4,4,2,30,1,2,3,3,3,3,3,3,2,1.86,0.69
108,92,2,1,12,33,8,28,11,33,5,1,16,30,12,29,14,33,16,24,15,29,16,33,35,37,25,32,22,36,3.17,3.2,4,2.17,3,2.4,2,2,2,1,2,4,1,56,1,3,2,37,1,1,3,2,3,3,3,2,2,4,3,4,4,4,4,2,3,2,5,1,1,3,3,3,3,3,3,2,-0.76,0.52
109,1909,1,1,24,53,24,58,26,55,8,6,33,52,33,57,30,54,46,57,41,59,37,59,67,58,55,62,44,63,2.33,2.6,3.33,3.17,2.75,2.8,2,1.25,1,2,6,1,1,85,5,6,2,52,5,1,1,1,1,1,1,1,4,3,3,4,2,3,3,3,3,2,50,2,2,3,3,3,3,3,2,5,0.74,0.69
110,2456,1,1,23,52,31,65,32,62,3,6,32,51,34,58,32,56,38,52,35,53,33,54,66,57,43,51,28,43,3.33,2.8,3,3,2.5,2.75,2,1,1,2,5,1,1,6,8,6,2,61,5,1,2,2,1,2,3,1,4,4,4,3,3,4,4,4,4,2,200,2,1,2,2,2,2,3,3,6,1.55,0.1
111,362,2,4,19,47,10,34,15,42,5,8,29,49,14,32,24,46,27,40,17,31,17,34,43,44,38,46,27,41,3.17,3,3,2,3,2.75,2,1.75,1,2,6,3,1,0,2,5,1,40,2,1,2,2,3,3,3,2,6,4,4,4,3,4,4,1,4,4,180,1,1,1,3,3,3,3,3,3,-0.53,0.34
112,2558,2,1,19,46,24,58,26,56,8,8,42,60,36,60,34,58,45,56,37,55,38,60,74,62,50,57,36,52,3.33,2.8,4,4,4,4,1,1,1,2,4,1,1,8,6,9,2,67,5,1,2,2,2,3,3,1,4,3,3,4,2,4,2,2,1,1,200,1,2,3,3,3,3,3,3,4,2.17,0.58
113,1395,2,7,16,42,13,40,18,45,6,3,26,44,20,43,23,46,29,44,31,49,25,44,52,49,42,50,29,44,2.67,2.6,3,3.17,2,2.2,2,2,1,1,3,3,1,55,5,5,2,47,4,1,2,2,2,2,3,2,4,2,4,3,2,4,4,4,2,4,50,1,2,3,3,3,3,3,3,7,0.17,0.51
114,2190,2,1,23,53,20,54,28,58,5,5,44,61,25,49,27,50,50,59,34,52,25,44,67,58,42,50,33,49,3,2.8,4,4,3.5,3.6,1,1,1,2,6,1,1,8,6,5,2,56,5,2,3,2,2,2,3,2,4,4,4,4,4,3,3,2,1,3,200,2,1,3,3,3,3,3,3,7,1.05,0.29
115,2145,2,1,23,52,14,44,21,49,3,6,36,55,30,54,29,53,41,54,31,50,32,52,57,52,41,49,35,51,3.33,3,3.67,3.17,3.25,2.8,1.6,1.5,2,2,6,1,1,0,5,8,2,55,5,1,1,2,2,1,1,1,4,3,2,4,4,4,3,3,2,3,80,2,2,3,3,3,3,3,3,5,1.01,0.43
116,2418,2,4,30,61,21,55,35,66,6,5,33,53,25,50,37,62,45,56,38,56,44,69,59,53,44,52,42,59,3.83,3.2,3.67,3.67,3.5,3.4,1,2,1,2,4,1,1,7,6,9,2,60,5,2,4,2,2,2,2,2,5,4,4,3,3,3,3,3,3,4,100,1,1,3,3,3,3,3,3,2,1.5,0.03
117,2166,2,3,29,59,34,68,29,59,7,8,40,58,44,67,32,56,54,61,49,65,36,58,68,58,52,58,38,55,3.67,3.8,3.67,3.17,2,2,3.2,2.5,1,2,3,2,1,15,5,8,2,55,5,2,1,1,1,1,1,1,5,4,4,4,3,4,4,3,2,3,100,1,1,1,3,3,3,3,3,7,1.02,0.15
118,1256,1,1,29,59,22,55,26,56,6,8,38,57,41,65,27,51,33,48,38,56,34,54,39,40,52,59,41,58,2.5,2,3,2.33,2.25,2,2.6,1.75,1,2,6,1,2,9,5,6,2,46,4,1,3,2,2,2,4,2,2,2,2,4,2,4,2,1,1,2,50,2,2,2,3,3,3,3,3,5,0.09,0.03
119,823,2,1,23,52,15,44,31,61,1,8,37,56,23,46,34,58,35,50,19,35,35,56,62,55,41,48,41,58,3.33,3,3.33,2.17,2.5,2.2,1,1.5,1,1,5,1,1,32,5,3,2,43,3,1,1,1,2,2,2,1,4,4,3,4,3,4,3,3,2,4,200,1,1,3,3,3,3,3,3,3,-0.17,0.74
120,1508,1,5,20,48,18,50,16,43,7,8,34,53,37,61,30,54,35,49,32,50,33,54,60,54,40,48,33,48,3.33,3,3.33,3.83,3.67,3.4,1,1,2,2,3,2,1,0,5,5,2,48,4,1,2,2,2,2,2,2,6,3,3,4,4,3,3,1,3,3,150,1,1,3,3,3,3,3,3,3,0.27,0.43
121,977,2,3,19,47,15,44,18,45,6,4,27,46,23,47,26,49,34,49,33,51,29,49,48,46,36,43,31,46,2.5,2.2,3.67,3.33,3.33,3.2,1,1,1,2,5,1,1,6,3,3,2,44,3,1,3,3,3,2,4,2,3,4,4,4,3,4,3,2,3,4,50,2,2,2,3,3,3,3,3,7,-0.07,0.56
122,344,1,1,37,66,24,58,26,56,8,8,37,56,29,53,38,63,40,54,40,58,35,56,53,50,54,60,38,54,3,3.2,4,2.67,2.33,2.8,2,1.5,1,2,4,1,2,20,3,2,2,40,2,1,2,2,3,2,2,2,2,3,3,4,3,4,4,3,3,4,100,1,2,3,2,3,2,3,3,1,-0.54,0.82
123,195,1,1,14,38,16,47,25,54,7,8,17,31,23,47,31,55,22,34,28,47,35,55,42,43,45,53,38,55,2.67,3,3.33,3.33,3.25,2.8,1.4,2.25,2,2,4,1,1,0,2,2,2,38,1,1,2,1,1,2,2,2,2,4,3,4,4,4,3,4,3,4,50,2,2,3,3,3,3,3,3,7,-0.74,0.94
